sample_id,gbz
hprc-v2.0-mc-grch38-eval,"https://s3-us-west-2.amazonaws.com/human-pangenomics/pangenomes/scratch/2025_02_28_minigraph_cactus/benchmark-graphs/hprc-v2.0-mc-grch38-eval/hprc-v2.0-mc-grch38-eval.gbz"
hprc-v2.0-mc-grch38-eval.d46,"https://s3-us-west-2.amazonaws.com/human-pangenomics/pangenomes/scratch/2025_02_28_minigraph_cactus/benchmark-graphs/hprc-v2.0-mc-grch38-eval/hprc-v2.0-mc-grch38-eval.d46.gbz"
